candidate_id,estate,source_id,node_type,title,document_or_part,paragraph_or_rule,url,matched_amounts,rule_based_reason,snippet
cand-00093,sop,6250fb9f2fb6fd7f,guidance_document,SoP2/23 – Operating the Small Domestic Deposit Taker (SDDT) regime,,,https://www.prarulebook.co.uk/guidance/statements-of-policy/sop---operating-the-small-domestic-deposit-taker-sddt-regime/01-06-2026,£20 billion,Monetary amount appears with threshold/trigger language.,"The PRA considers that this is likely to be the case where the firm can demonstrate that the group’s total assets do not exceed £20 billion when calculated on the following basis: • the measure of total assets is comparable to the measure used in the SDDT criteria and calculated using the average of this measure during the previous 36 months; and • the entities included in or excluded from the group for this purpose are determined using approximately the same principles as those used when establishing the boundaries of a UK regulatory consolidation group.3 3.4 If a firm in this position wishes to be subject to the SDDT regime, it should apply to the PRA under section 138A of the Financial Services and Markets Act 2000 (FSMA 2000) for a modification of the SDDT criteria, so that instead of the criterion specifying ‘any parent undertaking of the firm is a UK undertaking’, there is a criterion to the effect that the group’s total assets do not exceed £20 billion, appropriately tailored to the circumstances of the group."
cand-00094,sop,62694b73ce29aa65,guidance_document,SoP3/13 – The Bank of England’s approach to enforcement: changes to statements of policy and procedure following the Financial Services and Markets Act 2023,,,https://www.prarulebook.co.uk/guidance/statements-of-policy/sop-the-bank-of-englands-approach-to-enforcement/01-06-2026,£25; £75; £125 m; £15; £45; £75 m; £1; £7; £15 m; £1 m; £2 m,Monetary amount appears with threshold/trigger language.,Firm Seriousness25 category at the time of Level 1 Level 2 Level 3 the relevant breach(es) 1 £25-75 million £75-125 million > £125 million 2 £15-45 million £45-75 million > £75 million 3 £1-7 million £7-15 million > £15 million 4 £1 million £1-2 million > £2 million 4.21.
cand-00095,sop,ee78386ded13cfeb,guidance_document,SoP3/23 – Operating the Interim Capital Regime,,,https://www.prarulebook.co.uk/guidance/statements-of-policy/sop---operating-the-interim-capital-regime/01-06-2026,£20 billion,Monetary amount appears with threshold/trigger language.,The PRA considers that this is likely to be the case where the firm can demonstrate that the group’s total assets do not exceed £20 billion when calculated on the following basis: • the measure of total assets is comparable to the measure used in the SDDT criteria and calculated using the average of this measure during the previous 36 months; and • the entities included in or excluded from the group for this purpose are determined using approximately the same principles as those used when establishing the boundaries of a UK consolidation group.
cand-00096,sop,ee78386ded13cfeb,guidance_document,SoP3/23 – Operating the Interim Capital Regime,,,https://www.prarulebook.co.uk/guidance/statements-of-policy/sop---operating-the-interim-capital-regime/01-06-2026,£20 billion,Monetary amount appears with threshold/trigger language.,"3.4 If a firm in this position wishes to be subject to the ICR, it should apply to the PRA under section 138A of the Financial Services and Markets Act 2000 (FSMA 2000) for a modification of the SDDT criteria, so that instead of the criterion specifying ‘any parent undertaking of the firm is a UK undertaking’, there is a criterion to the effect that the group’s total assets do not exceed £20 billion, appropriately tailored to the circumstances of the group."
cand-00097,sop,88205f08078ebd88,guidance_document,SoP4/16 – The PRA’s approach to the implementation of the O-SII buffer,,,https://www.prarulebook.co.uk/guidance/statements-of-policy/sop---the-pras-approach-to-the-implementation-of-the-o-sii/01-06-2026,£35 billion,Monetary amount appears with threshold/trigger language.,"2.3 The PRA only applies an O-SII buffer to all banking groups containing RFBs, within the meaning of Section 142A of the Financial Services and Markets Act 2000 (FSMA), and large building societies that hold more than £35 billion in deposits (where one or more of the account holders is a small business) and shares (excluding deferred shares).1 Jointly, these are referred to as ‘firms that are subject to the O-SII buffer’."
cand-00098,sop,88205f08078ebd88,guidance_document,SoP4/16 – The PRA’s approach to the implementation of the O-SII buffer,,,https://www.prarulebook.co.uk/guidance/statements-of-policy/sop---the-pras-approach-to-the-implementation-of-the-o-sii/01-06-2026,£25bn; £35bn,Monetary amount needs LLM review to distinguish threshold from ordinary mention.,"1 The draft Financial Services and Markets Act 2000 (Ring-fenced Bodies, Core Activities, Excluded Activities and Prohibitions) (Amendment) Order 2023 (the ‘draft 2023 Order’), published by HMT on Thursday 28 September 2023, proposes to change the core deposit level condition from £25bn to £35bn."
cand-00099,sop,11297bffd37a88ea,guidance_document,SoP7/24 – The Prudential Regulation Authority’s approach to insurance branch authorisation and supervision,,,https://www.prarulebook.co.uk/guidance/statements-of-policy/sop---the-pra-approach-to-insurance-branch-authorisation-and-supervision/01-06-2026,£600 m,Monetary amount appears with threshold/trigger language.,"While not a hard threshold, the PRA expects third-country branches to have under £600 million of insurance liabilities covered by the FSCS when operating as a branch and may consider authorisation as a subsidiary as an alternative where this is not the case."
cand-00100,sop,11297bffd37a88ea,guidance_document,SoP7/24 – The Prudential Regulation Authority’s approach to insurance branch authorisation and supervision,,,https://www.prarulebook.co.uk/guidance/statements-of-policy/sop---the-pra-approach-to-insurance-branch-authorisation-and-supervision/01-06-2026,£600500 m,Monetary amount appears with threshold/trigger language.,"The impact of a branch failure on the wider insurance market and financial system 2.33 If an insurer’s FSCS liabilities are below the threshold of £600500 million, it could still, in some cases, pose a risk to the financial stability of the UK."
cand-00132,sop,fa9200ad7799bc4b,guidance_paragraph,SoP1/13 – Designation of investment firms for prudential supervision by the Prudential Regulation Authority 3.1,SoP1/13 – Designation of investment firms for prudential supervision by the Prudential Regulation Authority,3.1,https://www.prarulebook.co.uk/guidance/statements-of-policy/sop---designation-of-investment-firms-for-prudential-supervision-by-the-pra/01-06-2026#18f9d9d71de342e5b35225f49f65469b,£15 billion,Monetary amount appears with threshold/trigger language.,"The PRA has regard to each of the following factors in determining whether an Eligible Investment Firm should be designated: whether the firm’s balance sheet exceeds an average of £15 billion total gross assets over four quarters, as reported on regulatory returns; and/or whether the sum of the balance sheets of all Eligible Investment Firms in a group exceeds an average of £15 billion total gross assets over four quarters; and/or where the firm is part of a PRA group, whether the firm’s revenues, balance sheet and risk-taking is significant relative to the group’s revenues, balance sheet and risk-taking."
cand-00133,sop,c9d1bcb392112658,guidance_paragraph,SoP1/13 – Designation of investment firms for prudential supervision by the Prudential Regulation Authority 3.2,SoP1/13 – Designation of investment firms for prudential supervision by the Prudential Regulation Authority,3.2,https://www.prarulebook.co.uk/guidance/statements-of-policy/sop---designation-of-investment-firms-for-prudential-supervision-by-the-pra/01-06-2026#b7ba0246df8f41d28e4cd46f2ec3e3ab,£15 billion,Monetary amount appears with threshold/trigger language.,The first factor – that a firm is designated where it has total gross assets over four quarters averaging more than £15 billion – relates to the assets consideration in the PRA-regulated Activities Order.
