candidate_id,estate,source_id,node_type,title,document_or_part,paragraph_or_rule,url,matched_amounts,rule_based_reason,snippet,is_threshold,inflation_index_candidate,threshold_amounts,threshold_type,confidence,llm_rationale
cand-00214,ss,dba9eac4739034d7,guidance_paragraph,SS19/13 – Resolution planning PDF paragraph 43,SS19/13 – Resolution planning,,https://www.prarulebook.co.uk/guidance/supervisory-statements/ss19-13-resolution-planning/01-06-2026#pdf-page-13,€43 m,Monetary amount appears with threshold/trigger language.,"Custody Services Safe custody assets held (£mn) Client money held (£mn) Description of ancillary services offered in custody eg securities lending, general prime brokerage services Resolution planning June 2018 13 Payments, Third-Party Operational For each (the list below is not exhaustive): clearing Services Credit card systems custody & Cheque processing settlement Back office for retail banking (b) Provide: Description of service Number of clients provided with service Number of other providers (a) As defined in Article 2.1(f) of the EU Prospectus Directive, SME refers to companies, which, according to their last annual or consolidated accounts, meet at least two of the following three criteria: (i) an average number of employees during the financial year of less than 250, (ii) a total balance sheet not exceeding €43 million, (iii) an annual net turnover not exceeding",yes,yes,€43 million,scope_trigger,high,SME definition uses balance-sheet ceiling as an eligibility/scope criterion.
cand-00215,ss,7e1da89e903dd4b7,guidance_paragraph,SS19/13 – Resolution planning PDF paragraph 44,SS19/13 – Resolution planning,,https://www.prarulebook.co.uk/guidance/supervisory-statements/ss19-13-resolution-planning/01-06-2026#pdf-page-14,€50 m,Monetary amount needs LLM review to distinguish threshold from ordinary mention.,"€50 million. (b) The payments, clearing and settlement function is limited to those provided by firms to their clients.",yes,yes,€50 million,scope_trigger,medium,Continuation of SME definition; annual turnover ceiling is an eligibility/scope criterion.
cand-00108,ss,aceb3db444d209bf,guidance_paragraph,SS19/15 – Exercising certain functions under the Building Societies Act 1986 2.12,SS19/15 – Exercising certain functions under the Building Societies Act 1986,2.12,https://www.prarulebook.co.uk/guidance/supervisory-statements/ss19-15-exercising-certain-functions-under-the-building-societies-act-1986/01-06-2026#a58cba3274834867a47277316ab6d04e,"£100,000",Monetary amount appears with threshold/trigger language.,"The exemptions in section 9A of the 1986 Act fall into two broad categories: (a) those which allow a society or subsidiary undertaking to provide certain retail services to its customers, including: (i) acting as market maker in currency or securities transactions of less than £100,000; (ii) trading in currencies (but not commodities) up to a value of £100,000 per transaction; (iii) entering into contracts for differences in respect of customers who wish to hedge exposures arising from their own loans or deposits with the society or a connected undertaking; or (iv) acting as market maker or entering into derivative investments in its capacity as manager of a collective investment scheme; and (b) those which allow a society or subsidiary undertaking to use derivative investments in order to limit the extent to which it, or a connected undertaking, will be affected by changes in interest rates, exchange rates, any index of retail prices, any index of residential property prices, any index of the prices of securities, or the creditworthiness of any borrower(s).",yes,yes,"£100,000",permission_or_exemption_condition,high,"Transaction values below/up to £100,000 determine permitted exemptions."
cand-00109,ss,f77de83d07c26915,guidance_paragraph,SS19/15 – Exercising certain functions under the Building Societies Act 1986 2.13,SS19/15 – Exercising certain functions under the Building Societies Act 1986,2.13,https://www.prarulebook.co.uk/guidance/supervisory-statements/ss19-15-exercising-certain-functions-under-the-building-societies-act-1986/01-06-2026#dcdabe1ed0fa4e03ac812b575d74d275,"£100,000",Monetary amount appears with threshold/trigger language.,"The Treasury may, by negative resolution order, amend the £100,000 transaction limit and may add factors to, or remove factors from, the list found in paragraph 2.12 .",yes,yes,"£100,000",permission_or_exemption_condition,high,Refers to amendable transaction limit for statutory exemptions.
cand-00110,ss,c34f9614e399c9ce,guidance_paragraph,SS19/15 – Exercising certain functions under the Building Societies Act 1986 2.14,SS19/15 – Exercising certain functions under the Building Societies Act 1986,2.14,https://www.prarulebook.co.uk/guidance/supervisory-statements/ss19-15-exercising-certain-functions-under-the-building-societies-act-1986/01-06-2026#a024afdf8a754447ace52351a45d0274,"£100,000",Monetary amount needs LLM review to distinguish threshold from ordinary mention.,"The exemptions permitting transactions of up to £100,000 (as market-maker in currency or securities transactions, or trading currencies) may not be abused by artificially breaking up larger transactions into a number of smaller amounts falling within the £100,000 ceiling (section 9A(8) of the 1986 Act is the relevant anti-avoidance provision).",yes,yes,"£100,000",permission_or_exemption_condition,high,"£100,000 ceiling controls availability of transaction exemptions."
cand-00112,ss,f169b7db8457781e,guidance_paragraph,SS19/15 – Exercising certain functions under the Building Societies Act 1986 3.109,SS19/15 – Exercising certain functions under the Building Societies Act 1986,3.109,https://www.prarulebook.co.uk/guidance/supervisory-statements/ss19-15-exercising-certain-functions-under-the-building-societies-act-1986/01-06-2026#6beb68c5a5af4c38aabd57b4686e8a22,£100,Monetary amount appears with threshold/trigger language.,"So far as borrowing members are concerned, the member is not entitled to vote in that capacity if his indebtedness to the society at any relevant date is less than £100 (paragraphs 29(2) and 36 of Schedule 2).",yes,yes,£100,permission_or_exemption_condition,high,Borrowing member indebtedness below £100 removes voting entitlement.
cand-00113,ss,16f1bb4f476a7e10,guidance_paragraph,SS19/15 – Exercising certain functions under the Building Societies Act 1986 3.110,SS19/15 – Exercising certain functions under the Building Societies Act 1986,3.110,https://www.prarulebook.co.uk/guidance/supervisory-statements/ss19-15-exercising-certain-functions-under-the-building-societies-act-1986/01-06-2026#7422b60a50d34adca48eddd62ec9843b,£100,Monetary amount appears with threshold/trigger language.,"However, Schedule 2 specifies the following further provisions, some, none or all of which may be included in a society’s Rules with respect to the entitlement of shareholding members to vote on any resolution; a person must (see Schedule 2 paragraphs 23(3) to (5) and 36): (a) have a qualifying shareholding (which must not be set higher than £100), in one or more share accounts, CCDS, PPDS or PIBS, on the qualifying shareholding date; (b) hold shares on the voting date; and (c) have held shares continuously between those two dates.",yes,yes,£100,permission_or_exemption_condition,high,Qualifying shareholding cap/condition affects voting entitlement.
cand-00114,ss,245ca8f1d90c166b,guidance_paragraph,SS19/15 – Exercising certain functions under the Building Societies Act 1986 3.111,SS19/15 – Exercising certain functions under the Building Societies Act 1986,3.111,https://www.prarulebook.co.uk/guidance/supervisory-statements/ss19-15-exercising-certain-functions-under-the-building-societies-act-1986/01-06-2026#829a53a7096847ad983c606351638748,£100,Monetary amount appears with threshold/trigger language.,"Therefore, if a society’s Rules include the provisions concerning shareholding and continuity of membership described in paragraph 3.110 , and if the voting date is later than the AGM in that year, a person to be entitled to vote on a shareholding members resolution must: (a) have been a shareholding member on the last day of the previous financial year; (b) have held shares to the value of at least £100 on the day 56 days before the date of the meeting; (c) have held shares continuously from the 56th day through to the voting date; and (d) hold shares on the voting date.",yes,yes,£100,permission_or_exemption_condition,high,Minimum share value is an eligibility condition for voting.
cand-00115,ss,db5297b405ab04be,guidance_paragraph,SS19/15 – Exercising certain functions under the Building Societies Act 1986 3.113,SS19/15 – Exercising certain functions under the Building Societies Act 1986,3.113,https://www.prarulebook.co.uk/guidance/supervisory-statements/ss19-15-exercising-certain-functions-under-the-building-societies-act-1986/01-06-2026#bddf7ca62f114e39997d8e377aa3a5ea,£100,Monetary amount appears with threshold/trigger language.,"The mandatory provisions of Schedule 2 to the 1986 Act concerning entitlement to vote on a borrowing members resolution are, as noted above, that the member must have been, and be, indebted to the society for at least £100 (whether on one or more accounts) at the end of the last financial year before the voting date, and on the voting date, in respect of an advance fully secured (or, if the Rules permit, substantially secured) on land (paragraphs 5(2), 23(1), 29(2) and 36 of Schedule 2) and have attained the age of 18 years by the date of the meeting (paragraphs 5(3) and 34(2) of Schedule 2).",yes,yes,£100,permission_or_exemption_condition,high,Minimum indebtedness is an eligibility condition for voting.
cand-00116,ss,db5297b405ab04be,guidance_paragraph,SS19/15 – Exercising certain functions under the Building Societies Act 1986 3.113,SS19/15 – Exercising certain functions under the Building Societies Act 1986,3.113,https://www.prarulebook.co.uk/guidance/supervisory-statements/ss19-15-exercising-certain-functions-under-the-building-societies-act-1986/01-06-2026#bddf7ca62f114e39997d8e377aa3a5ea,"£100,",Monetary amount appears with threshold/trigger language.,"But note that there is no dispensation in the 1986 Act for the Rules to reduce the qualifying amount below £100, nor to provide for a continuity of membership qualification.",yes,yes,£100,permission_or_exemption_condition,high,Rules cannot reduce qualifying amount below statutory £100 floor.
