candidate_id,estate,source_id,node_type,title,document_or_part,paragraph_or_rule,url,matched_amounts,rule_based_reason,snippet,is_threshold,inflation_index_candidate,threshold_amounts,threshold_type,confidence,llm_rationale
cand-00279,rule,9c05ab2b18e44519,rule,8.2,Auditors,8.2,https://www.prarulebook.co.uk/pra-rules/auditors/01-06-2026#7a6acf04b0614f2b8a14c6a9a01f1e45,"£50,000,000,000; £50,000,000,000,",Monetary amount appears with threshold/trigger language.,"Unless otherwise stated, this Chapter applies to an auditor of a firm that: (1) is a UK bank or building society ; (2) is not itself the subsidiary undertaking of an undertaking that is not an UK undertaking ; and (3) meets at least one of the following criteria: (a) it has an individual balance sheet total greater than £50,000,000,000; or (b) it is a member of a group that has a consolidated balance sheet total greater than £50,000,000,000, as at the last accounting reference date .",true,true,"£50,000,000,000",scope_trigger,high,Balance sheet total threshold determines whether the Auditors chapter applies.
cand-00280,rule,0fd322fb73678300,rule,Article 273a(1),Counterparty Credit Risk (CRR),1,https://www.prarulebook.co.uk/pra-rules/counterparty-credit-risk-crr/01-06-2026#f8f2ff46b3d24c4a958e17b6d26725a5,GBP 260 m,Monetary amount appears with threshold/trigger language.,"Subject to the restriction set out in Article 273b(2) , an institution may calculate the exposure value of its derivative positions in accordance with the method set out in Section 4 , provided that the size of its on- and off-balance-sheet derivative business is equal to or less than both of the following thresholds on the basis of an assessment carried out on a monthly basis using the data as of the last day of the month : (a) 10% of the institution's total assets; (b) GBP 260 million.",true,true,GBP 260 million,permission_or_exemption_condition,high,Derivative business size threshold permits use of the Section 4 method.
cand-00281,rule,c8551b280d1ce12c,rule,Article 273a(2),Counterparty Credit Risk (CRR),2,https://www.prarulebook.co.uk/pra-rules/counterparty-credit-risk-crr/01-06-2026#675d57c54dc54259a40613ad3d6f9de0,GBP 88 m,Monetary amount appears with threshold/trigger language.,"Subject to the restriction set out in Article 273b(2) , an institution may calculate the exposure value of its derivative positions in accordance with the method set out in Section 5 , provided that the size of its on- and off-balance-sheet derivative business is equal to or less than both of the following thresholds on the basis of an assessment carried out on a monthly basis using the data as of the last day of the month : (a) 5% of the institution's total assets; (b) GBP 88 million.",true,true,GBP 88 million,permission_or_exemption_condition,high,Derivative business size threshold permits use of the Section 5 method.
cand-00282,rule,1b1863acddffc2b6,rule,6.1,Credit Risk,6.1,https://www.prarulebook.co.uk/pra-rules/credit-risk/01-06-2026#e8424a8ded6d41d48ca8eb4ae1cd16b8,£0; EUR 500,Monetary amount appears with threshold/trigger language.,"For the purposes of Article 178(1)(b) of the CRR , a firm must assess a credit obligation past due as material if: (1) for retail exposures : (a) the sum of all amounts past due owed by an obligor to the firm , any parent undertaking of the firm or any subsidiary of the firm is greater than £0; and (b) the amount of the credit obligation past due in relation to the total amount of all on-balance sheet exposures to that obligor of the firm , any parent undertaking of the firm or any subsidiary of the firm , excluding equity exposures , is greater than 0%; (2) for non-retail exposures : (a) the sum of all amounts past due owed by an obligor to the firm , any parent undertaking of the firm or any subsidiary of the firm is greater than EUR 500 sterling equivalent; and (b) the amount of the credit obligation past due in relation to the total amount of all on-balance sheet exposures to that obligor of the firm , any parent undertaking of the firm or any subsidiary of the firm , excluding equity exposures , is greater than 1%. [Note: Arts.",true,false,£0,other_threshold,medium,Past-due credit obligation materiality test uses a zero monetary cut-off.
cand-00283,rule,534cce2aeaa03fc5,rule,1.2,Credit Unions,1.2,https://www.prarulebook.co.uk/pra-rules/credit-unions/01-06-2026#9122e0d74c394f3caeaa9dd663e4b53e,£250 m,Monetary amount appears with threshold/trigger language.,"CTF means a child trust fund as defined in section 1(2) of the Child Trust Funds Act 2004. data elements means a discrete fact or individual piece of information relating to a particular field within a data item . data items means one or more related data elements that are grouped together into a prescribed format and required to be submitted by a firm . deferred share has the meaning given by section 31A of the Credit Unions Act 1979. deposit has the meaning given by section 5(2) of the Regulated Activities Order . depositor means the holder or, in the case of a joint account , each of the holders, of a deposit . excluded credit union means a credit union which has average total gross assets of £250 million or less, determined on the basis of the annual average amount of gross assets calculated across a rolling period of five years or, if it has been in existence for less than five years, across the period during which it has existed (in each case, calculated with reference to the credit union ’s annual accounting reference date). exposure means the aggregate net liability of a person to a credit union .",true,true,£250 million,scope_trigger,high,Definition of excluded credit union uses an assets ceiling.
cand-00284,rule,534cce2aeaa03fc5,rule,1.2,Credit Unions,1.2,https://www.prarulebook.co.uk/pra-rules/credit-unions/01-06-2026#9122e0d74c394f3caeaa9dd663e4b53e,"£7,500",Monetary amount appears with threshold/trigger language.,"Great Britain credit union means a credit union within the scope of the Co-operative and Community Benefit Societies Act 2014. group undertaking has the meaning given in section 1161(5) of the Companies Act 2006. hire purchase agreement has the meaning given in section 31(1) of the Credit Unions Act 1979. holding company has the meaning given in section 1159(1) of the Companies Act 2006. juvenile deposit a deposit received by a credit union from an individual under the age at which an individual may lawfully become a member of that credit union . large exposure means an aggregate net liability of a person to a credit union that meets both the following criteria: (1) it is at least £7,500; and (2) it is at least 10% of the value of the credit union’s capital . maturity means, in relation to a security or loan, the last or only date on which it will be repayable by or under its terms. member means a person that is a member within the scope of section 5(2) of the Credit Unions Act 1979 and article 14(2) Credit Unions (Northern Ireland) Order 1985. net liability means the outstanding balance of any loan made to a borrower and any interest or charges on that loan that are due but unpaid",true,true,"£7,500",scope_trigger,high,Large exposure definition requires net liability of at least this amount.
cand-00287,rule,36114461f92c33c5,rule,2.12,Credit Unions,2.12,https://www.prarulebook.co.uk/pra-rules/credit-unions/01-06-2026#92c6204b34094551b8fe5b3c2d2baf63,"£10,000; £500; £1,000; £100,000; £5,000; £1,000,000; £20,000; £150,000",Monetary amount appears with threshold/trigger language.,"Column (1) Aggregate value of shares and juvenile deposits , including those held in a CTF (for the purposes of this table, “aggregate value”) Column (2) Cover required in respect of any one claim Column (3) Cover required in respect of total claims made in any one year Row (A) Less than £10,000 The higher of £500 or 50% of the aggregate value The higher of £1,000 or 100% of the aggregate value Row (B) £10,000 to £100,000 The higher of £5,000 or 20% of the aggregate value 100% of the aggregate value Row (C) £100,000 to £1,000,000 The higher of £20,000 or 15% of the aggregate value The higher of £100,000 or 75% of the aggregate value Row (D) More than £1,000,000 £150,000 plus 5% of the amount",true,true,"£10,000; £500; £1,000; £100,000; £5,000; £1,000,000; £20,000; £150,000",compensation_or_protection_limit,high,Table sets fidelity cover bands and required cover amounts by aggregate value.
cand-00288,rule,36114461f92c33c5,rule,2.12,Credit Unions,2.12,https://www.prarulebook.co.uk/pra-rules/credit-unions/01-06-2026#92c6204b34094551b8fe5b3c2d2baf63,"£100,000; £1,000,000; £150,000; £1,000,000,; £2,000,000; £750,000; £4,000,000",Monetary amount appears with threshold/trigger language.,"f £100,000 or 75% of the aggregate value Row (D) More than £1,000,000 £150,000 plus 5% of the amount by which the aggregate value exceeds £1,000,000, subject to a maximum cover of £2,000,000 £750,000 plus 5% of the amount by which the aggregate value exceeds £1,000,000, subject to a maximum cover of £4,000,000 Notes: (1) In relation to a credit union which, at the relevant date, has accepted and not repaid share subscriptions and other deposit s of the aggregate value stipulated in column (1) of the table in this chapter, the limit in respect of any one claim is the amount appearing in the corresponding part of column (2); and the amount in respect of the total of claims made in any one year",true,true,"£100,000; £1,000,000; £150,000; £2,000,000; £750,000; £4,000,000",compensation_or_protection_limit,high,Continuation of cover table sets band thresholds and maximum cover limits.
cand-00285,rule,9a60d1da37283848,rule,2.2,Credit Unions,2.2,https://www.prarulebook.co.uk/pra-rules/credit-unions/01-06-2026#3a257b52fefb4b5fbbef309d52f88e83,"£15,000",Monetary amount appears with threshold/trigger language.,"Subject to 2.3 and 2.4 , a credit union must ensure that a member does not have non-deferred shares in the credit union which in aggregate exceed the greater of: (1) £15,000; and (2) 1.5% of total non-deferred shares in the credit union ;",true,true,"£15,000",other_threshold,high,Cap on a member’s aggregate non-deferred shares.
cand-00286,rule,f4d5cc01134c81bd,rule,2.6,Credit Unions,2.6,https://www.prarulebook.co.uk/pra-rules/credit-unions/01-06-2026#c2680283ade0421eb316da6ef29b0fcb,"£10,000",Monetary amount appears with threshold/trigger language.,"Subject to 2.7 and 2.8 , a credit union must ensure that an individual does not have juvenile deposits which in aggregate exceed the greater of: (1) £10,000; and (2) 1.5% of the total non-deferred shares in the credit union .",true,true,"£10,000",other_threshold,high,Cap on an individual’s aggregate juvenile deposits.
